TRANSACTION_ID,CLIENT_ID,PRODUCT_CODE,QUANTITY,UNIT_PRICE,TRANSACTION_DATE,STATUS
1,108,BOM-B200,36,328.93,2025-10-29 18:10:18.636326,Finalizat
2,108,Bom-B200,72,62.48,2025-08-31 18:10:18.636326,In Procesare
3,103,BOM-B200,27,164.39,2025-06-23 18:10:18.636326,Finalizat
4,107,Bom-B200,54,291.32,2026-01-23 18:10:18.636326,Finalizat
5,109,BOM-A100,24,325.83,2025-06-27 18:10:18.636326,
6,106,Bom-B200,101,181.67,2025-10-14 18:10:18.636326,Finalizat
7,106,BOM-A100,68,169.3,2025-09-03 18:10:18.636326,Finalizat
8,110,BOM-C300,27,443.42,2025-06-19 18:10:18.636326,Finalizat
9,103,BOM-B200,33,88.22,2025-05-21 18:10:18.636326,
10,103,Bom-B200,67,169.57,2025-10-19 18:10:18.636326,Finalizat
11,103,bom-a100,44,336.62,2025-07-10 18:10:18.636326,Finalizat
12,105,BOM-B200,37,306.63,2025-05-10 18:10:18.636326,
13,104,BOM-B200,57,16.53,2026-02-21 18:10:18.636326,Finalizat
14,101,BOM-A100,6,247.03,2026-04-16 18:10:18.636326,Finalizat
15,106,bom-a100,76,327.65,2025-07-22 18:10:18.636326,Finalizat
16,107,Bom-B200,64,263.74,2025-09-24 18:10:18.636326,Finalizat
17,110,bom-a100,44,426.48,2025-05-22 18:10:18.636326,In Procesare
18,101,BOM-A100,70,497.19,2025-05-10 18:10:18.636326,Finalizat
19,110,BOM-C300,23,58.11,2026-04-11 18:10:18.636326,Finalizat
20,108,BOM-B200,49,115.71,2025-09-09 18:10:18.636326,In Procesare
21,102,bom-a100,48,214.38,2025-04-23 18:10:18.636326,Finalizat
22,110,BOM-C300,82,280.41,2025-10-31 18:10:18.636326,Finalizat
23,108,BOM-B200,32,228.01,2025-08-08 18:10:18.636326,Finalizat
24,105,BOM-A100,58,427.51,2026-03-19 18:10:18.636326,Finalizat
25,106,BOM-C300,37,418.82,2025-05-11 18:10:18.636326,Finalizat
26,107,BOM-B200,39,258.69,2026-03-22 18:10:18.636326,Finalizat
27,106,BOM-A100,28,257.32,2025-06-03 18:10:18.636326,In Procesare
28,103,bom-a100,61,84.65,2025-06-23 18:10:18.636326,
29,103,bom-a100,6,337.04,2025-12-31 18:10:18.636326,In Procesare
30,107,bom-a100,35,367.69,2025-09-20 18:10:18.636326,Finalizat
31,106,BOM-A100,85,426.98,2025-06-16 18:10:18.636326,Finalizat
32,108,BOM-B200,54,435.43,2025-08-02 18:10:18.636326,Finalizat
33,102,BOM-B200,22,199.7,2025-08-23 18:10:18.636326,Finalizat
34,103,bom-a100,58,67.07,2025-07-10 18:10:18.636326,In Procesare
35,104,BOM-A100,88,65.72,2025-09-23 18:10:18.636326,Finalizat
36,109,bom-a100,78,294.29,2026-02-21 18:10:18.636326,Finalizat
37,105,Bom-B200,65,476.89,2026-02-21 18:10:18.636326,In Procesare
38,102,bom-a100,80,100.7,2025-06-04 18:10:18.636326,In Procesare
39,107,BOM-A100,49,490.32,2026-02-04 18:10:18.636326,Anulat
40,102,BOM-A100,51,124.25,2026-04-12 18:10:18.636326,Finalizat
41,103,BOM-A100,54,100.7,2025-08-03 18:10:18.636326,Finalizat
42,110,BOM-B200,19,236.68,2025-12-21 18:10:18.636326,Finalizat
43,105,BOM-C300,78,473.88,2026-02-22 18:10:18.636326,Finalizat
44,110,BOM-B200,27,205.37,2025-07-19 18:10:18.636326,Finalizat
45,101,BOM-C300,55,489.79,2025-09-16 18:10:18.636326,Finalizat
46,108,Bom-B200,17,243.27,2026-01-19 18:10:18.636326,Finalizat
47,103,bom-a100,47,345.68,2025-12-26 18:10:18.636326,Finalizat
48,109,Bom-B200,34,315.4,2025-11-01 18:10:18.636326,Anulat
49,102,Bom-B200,52,15.08,2026-01-15 18:10:18.636326,Finalizat
50,110,bom-a100,23,11.26,2025-07-13 18:10:18.636326,Finalizat
51,106,BOM-B200,66,390.64,2025-06-20 18:10:18.636326,Finalizat
52,109,BOM-B200,49,455.81,2026-01-23 18:10:18.636326,Finalizat
53,102,BOM-A100,51,285.11,2025-07-29 18:10:18.636326,Finalizat
54,104,bom-a100,57,97.81,2025-04-21 18:10:18.636326,In Procesare
55,108,Bom-B200,55,140.67,2026-01-26 18:10:18.636326,Finalizat
56,102,BOM-C300,45,106.16,2026-04-04 18:10:18.636326,
57,108,bom-a100,46,86.5,2025-09-16 18:10:18.636326,Finalizat
58,106,Bom-B200,55,337.65,2025-08-23 18:10:18.636326,
